년도,회사명,종합등급,환경,사회,지배구조,한국ESG연구소,서스틴베스트,Moody,MSCI,SP
2020,AJ네트웍스,B,D,B,B,-,-,-,-,-
2020,AK홀딩스,B+,C,B+,B+,-,-,-,-,-
2020,BGF,B+,B,A,B+,-,-,-,-,-
2020,BGF리테일,A,B+,B+,A,-,-,-,BB,-
2020,BNK금융지주,A+,B+,A+,A+,-,-,-,-,-
2020,BYC,B,D,B,B+,-,-,-,-,-
2020,CJ,A,B,A,A,-,-,-,BBB,-
2020,CJ CGV,A,B,A,A,-,-,-,-,-
2020,CJ대한통운,A,A,B,A,-,-,-,B,-
2020,CJ씨푸드,B,C,B+,B+,-,-,-,-,-
2020,AJ네트웍스,B,D,B,B,-,-,-,-,-
2020,AK홀딩스,B+,C,B+,B+,-,-,-,-,-
2020,BGF,B+,B,A,B+,-,-,-,-,-
2020,BGF리테일,A,B+,B+,A,-,-,-,BB,-
2020,BNK금융지주,A+,B+,A+,A+,-,-,-,-,-
2020,BYC,B,D,B,B+,-,-,-,-,-
2020,CJ,A,B,A,A,-,-,-,BBB,-
2020,CJ CGV,A,B,A,A,-,-,-,-,-
2020,CJ대한통운,A,A,B,A,-,-,-,B,-
2020,CJ씨푸드,B,C,B+,B+,-,-,-,-,-
2020,CJ제일제당,A,A,A+,A,-,-,-,A,-
2020,CS홀딩스,C,D,C,B,-,-,-,-,-
2020,DB,B,D,B,B,-,-,-,-,-
2020,DB금융투자,B,D,A,B,-,-,-,-,-
2020,DB손해보험,B+,A,A,B+,-,-,-,BBB,-
2020,DB하이텍,B+,B+,A,B+,-,-,-,-,-
2020,DGB금융지주,A+,A,A+,A+,-,-,-,-,-
2020,DL,B+,A,B+,B+,-,-,-,-,-
2020,DL건설,B,B,B+,B,-,-,-,-,-
2020,DN오토모티브,B,B,C,B,-,-,-,-,-
2020,DRB동일,B,B,B,B,-,-,-,-,-
2020,DSR,C,B,B,C,-,-,-,-,-
2020,DSR제강,C,C,B,C,-,-,-,-,-
2020,E1,B,C,A,B+,-,-,-,-,-
2020,F&F 홀딩스,D,D,C,C,-,-,-,-,-
2020,GKL,B+,C,A,A,-,-,-,-,-
2020,GS,B+,C,A,A,-,-,-,BBB,-
2020,GS건설,A,A,B+,A,-,-,-,BBB,-
2020,GS글로벌,B,D,B+,B+,-,-,-,-,-
2020,GS리테일,B,C,B,B+,-,-,-,BB,-
2020,HDC,B+,C,B+,B+,-,-,-,-,-
2020,HDC랩스,C,D,C,B,-,-,-,-,-
2020,HDC현대EP,B,B,B+,B,-,-,-,-,-
2020,HDC현대산업개발,C,C,C,B+,-,-,-,-,-
2020,HD한국조선해양,B+,B+,C,A,-,-,-,CCC,-
2020,HD현대,A,B+,A,A,-,-,-,BB,-
2020,HD현대건설기계,A,B+,A,A,-,-,-,-,-
2020,HD현대인프라코어,A,A,A+,A,-,-,-,-,-
2020,HD현대일렉트릭,A,A,A+,A,-,-,-,-,-
2020,HJ중공업,B,B,B,B+,-,-,-,-,-
2020,HL D&I,B+,B,B+,B+,-,-,-,-,-
2020,HLB글로벌,C,D,B,C,-,-,-,-,-
2020,HL만도,A,A,A+,A,-,-,-,-,-
2020,HL홀딩스,B+,B,B+,A,-,-,-,-,-
2020,HMM,A,A,A+,A,-,-,-,-,-
2020,HSD엔진,A,B+,A,A,-,-,-,-,-
2020,HS애드,B,D,B+,B+,-,-,-,-,-
2020,JB금융지주,A+,A,A,A+,-,-,-,-,-
2020,JW생명과학,B+,B+,B+,B+,-,-,-,-,-
2020,JW중외제약,B,B,B+,B,-,-,-,-,-
2020,JW홀딩스,B+,C,B+,B+,-,-,-,-,-
2020,KB금융,A+,A+,A+,A+,-,-,-,A,-
2020,KC그린홀딩스,B,B,B+,B,-,-,-,-,-
2020,KC코트렐,B,B,B,B,-,-,-,-,-
2020,KEC,B,B+,B+,C,-,-,-,-,-
2020,KG모빌리티,B+,B+,B,B+,-,-,-,-,-
2020,KG스틸,B,B,B+,B,-,-,-,-,-
2020,KG케미칼,D,C,C,D,-,-,-,-,-
2020,KH 필룩스,C,C,B,B,-,-,-,-,-
2020,KIB플러그에너지,C,B,C,C,-,-,-,-,-
2020,KISCO홀딩스,C,B,B,C,-,-,-,-,-
2020,KPX케미칼,B,B,C,B,-,-,-,-,-
2020,KPX홀딩스,C,C,C,B,-,-,-,-,-
2020,KR모터스,C,D,C,B,-,-,-,-,-
2020,KSS해운,B+,B,B+,B+,-,-,-,-,-
2020,KTcs,B,D,B+,B+,-,-,-,-,-
2020,KTis,B,D,B+,B+,-,-,-,-,-
2020,LF,B,D,B,B+,-,-,-,-,-
2020,LG,A,B+,A+,B+,-,-,-,BBB,-
2020,LG디스플레이,B+,B,A,B+,-,-,-,A,-
2020,LG생활건강,A,A,A+,A,-,-,-,A,-
2020,LG유플러스,B,B+,B+,B,-,-,-,BB,-
2020,LG이노텍,A,A,A+,B+,-,-,-,BBB,-
2020,LG전자,B+,A,A+,B,-,-,-,A,-
2020,LG헬로비전,B+,D,B+,A,-,-,-,-,-
2020,LG화학,B,C,A,B+,-,-,-,BB,-
2020,LIG넥스원,A,B+,A,A,-,-,-,-,-
2020,LS,B+,B,B+,A,-,-,-,-,-
2020,LS네트웍스,B,D,B+,B,-,-,-,-,-
2020,LS전선아시아,B,D,C,B+,-,-,-,-,-
2020,LX세미콘,B,C,B+,B+,-,-,-,-,-
2020,LX인터내셔널,A,A,A+,A,-,-,-,-,-
2020,LX하우시스,A,A,A+,A,-,-,-,-,-
2020,MH에탄올,B,C,B,B+,-,-,-,-,-
2020,NAVER,A,B+,B+,A+,-,-,-,A,-
2020,NH투자증권,B+,B,A+,B+,-,-,-,BB,-
2020,NICE,B,D,B,B+,-,-,-,-,-
2020,NICE평가정보,B,D,B,B,-,-,-,-,-
2020,NI스틸,C,D,C,B,-,-,-,-,-
2020,OCI홀딩스,A,A,A+,A,-,-,-,-,-
2020,PI첨단소재,B,C,B,B+,-,-,-,-,-
2020,POSCO홀딩스,A,A,B,A+,-,-,-,BBB,-
2020,S-Oil,A+,A,A+,A+,-,-,-,BB,-
2020,SBS,B,C,B,B+,-,-,-,-,-
2020,SGC에너지,C,C,B,C,-,-,-,-,-
2020,SG글로벌,D,C,C,D,-,-,-,-,-
2020,SG세계물산,C,D,B,C,-,-,-,-,-
2020,SHD,D,D,C,D,-,-,-,-,-
2020,SH에너지화학,C,C,C,B+,-,-,-,-,-
2020,SIMPAC,C,C,B,C,-,-,-,-,-
2020,SK,A+,A,A+,A+,-,-,-,AA,-
2020,SKC,B+,B+,A+,B,-,-,-,-,-
2020,SK가스,A,B+,A+,A,-,-,-,-,-
2020,SK네트웍스,A,B+,A+,A,-,-,-,-,-
2020,SK디스커버리,A,B,A,A,-,-,-,-,-
2020,SK디앤디,B,C,B,B+,-,-,-,-,-
2020,SK렌터카,B,B,C,B,-,-,-,-,-
2020,SK이노베이션,A,A,A,A,-,-,-,BBB,-
2020,SK증권,B,D,A,B,-,-,-,-,-
2020,SK케미칼,B+,B+,A,B+,-,-,-,B,-
2020,SK텔레콤,A,A+,A,A,-,-,-,A,-
2020,SK하이닉스,A,A,A+,A,-,-,-,BBB,-
2020,SNT다이내믹스,B+,B+,B+,B+,-,-,-,-,-
2020,SNT모티브,B+,B,B+,B+,-,-,-,-,-
2020,SNT에너지,B+,B,B,B+,-,-,-,-,-
2020,SNT홀딩스,B+,C,B+,B+,-,-,-,-,-
2020,SPC삼립,B+,B,A,B,-,-,-,-,-
2020,STX,B,C,B+,B,-,-,-,-,-
2020,STX엔진,B+,B+,B+,B,-,-,-,-,-
2020,STX중공업,B,C,B+,B+,-,-,-,-,-
2020,SUN&L,B+,B,B,B+,-,-,-,-,-
2020,TCC스틸,C,B,B,C,-,-,-,-,-
2020,TYM,B+,B,B+,B+,-,-,-,-,-
2020,WISCOM,C,C,C,B+,-,-,-,-,-
2020,YG PLUS,B,D,B,B,-,-,-,-,-
2020,가온전선,B+,B,B+,B+,-,-,-,-,-
2020,강남제비스코,B,B,C,B,-,-,-,-,-
2020,강원랜드,A,B,A,A,-,-,-,BBB,-
2020,갤럭시아에스엠,C,D,C,C,-,-,-,-,-
2020,경농,C,B,B+,C,-,-,-,-,-
2020,경동나비엔,B+,B,B+,B+,-,-,-,-,-
2020,경동도시가스,B+,B,A,B+,-,-,-,-,-
2020,경동인베스트,B,C,B,B+,-,-,-,-,-
2020,경방,C,C,B,B,-,-,-,-,-
2020,경보제약,B,B,B,B,-,-,-,-,-
2020,경인양행,B,B,C,B,-,-,-,-,-
2020,경인전자,C,D,C,B,-,-,-,-,-
2020,계룡건설산업,B,B,B,B+,-,-,-,-,-
2020,계양전기,B,B,B+,B,-,-,-,-,-
2020,고려산업,C,C,C,C,-,-,-,-,-
2020,고려아연,B,B+,C,B+,-,-,-,B,-
2020,고려제강,B,B+,B+,C,-,-,-,-,-
2020,광동제약,B,C,B+,B+,-,-,-,-,-
2020,광명전기,C,C,C,C,-,-,-,-,-
2020,광전자,B,C,B,B+,-,-,-,-,-
2020,광주신세계,B+,C,A,B+,-,-,-,-,-
2020,교보증권,B,D,B+,B,-,-,-,-,-
2020,국도화학,B,B,B,B,-,-,-,-,-
2020,국동,B,D,C,B+,-,-,-,-,-
2020,국보,C,B,C,C,-,-,-,-,-
2020,국제약품,C,D,B,C,-,-,-,-,-
2020,그린케미칼,B,B,B,B,-,-,-,-,-
2020,극동유화,B,B,C,B,-,-,-,-,-
2020,금강공업,C,C,B,B,-,-,-,-,-
2020,금비,C,C,B,C,-,-,-,-,-
2020,금양,D,D,C,C,-,-,-,-,-
2020,금호건설,C,B,B+,C,-,-,-,-,-
2020,금호석유화학,A,B+,A,A,-,-,-,B,-
2020,금호에이치티,D,D,C,C,-,-,-,-,-
2020,금호전기,B,B,B,B,-,-,-,-,-
2020,금호타이어,B,B,C,B+,-,-,-,-,-
2020,기신정기,C,D,B,B,-,-,-,-,-
2020,기아,A,A,A+,B+,-,-,-,CCC,-
2020,기업은행,B+,B+,A,B+,-,-,-,BB,-
2020,까뮤이앤씨,C,D,C,B,-,-,-,-,-
2020,깨끗한나라,B+,B,B+,B+,-,-,-,-,-
2020,남광토건,B,B,B,B,-,-,-,-,-
2020,남선알미늄,B,C,B+,B,-,-,-,-,-
2020,남성,C,D,B,B,-,-,-,-,-
2020,남양유업,B,C,B,B+,-,-,-,-,-
2020,남해화학,B,B,B,B+,-,-,-,-,-
2020,넥센,B+,B,B+,B+,-,-,-,-,-
2020,넥센타이어,B+,B+,B+,B,-,-,-,-,-
