,status,message,corp_code,corp_name,corp_name_eng,stock_name,stock_code,ceo_nm,corp_cls,jurir_no,bizr_no,adres,hm_url,ir_url,phn_no,fax_no,induty_code,est_dt,acc_mt
0,000,정상,00260985,한빛네트,"HanbitNet, Inc.",한빛네트,036720,강승환,E,1101111443079,2088124283,서울특별시 종로구 익선동 30-6,www.hanbitnet.com,,02-3668-0114,02-3668-0112,58221,19970722,12
1,000,정상,00264529,(주)엔플렉스,"Nplex,Inc.",엔플렉스,040130,이 정 학,E,1101111601750,2208156354,서울특별시 강남구 논현동 98 동익빌딩 2층,www.gamekorea.net,,(02) 3453-7111,(02) 3453-7345,58221,19981030,12
2,000,정상,00358545,(주)동서정보기술,"Dong Seo Information Technology Co., Ltd.",동서정보기술,055000,이희봉,E,1101111259525,2208103653,서울특별시 강남구 대치동 997-4 ,http://www.dsit.co.kr,,02-565-4510 (220),02-3453-4552,58221,19960410,12
3,000,정상,00231567,주식회사 애드모바일,,애드모바일,032600,김용석,E,1101111166837,1208151156,서울특별시 강서구 가양동 1458-9 동남빌딩 2층,www.kdline.co.kr,,02-518-0101 (변광섭),02-518-0133,58221,19950614,12
4,000,정상,00247939,(주)씨모스,"creative master of semiconductor. co.,ltd",씨모스,037600,유인엽,E,1201110118077,1398120545,인천광역시 남동구 고잔동 685-6,www.cmos21.co.kr,,032-814-0981-4,032-814-0985,29294,19950509,12
5,000,정상,00359614,(주)리더컴,"LEADER COMM.Co.,Ltd",리더컴,056140,박문기,E,1101111571755,2208153788,경기도 화성시 장안면 수촌리 877-23,http://leadercomm.co.kr,,031-351-3751,031-351-3750,26410,19980801,12
6,000,정상,00153551,(주)허메스홀딩스,"Hermesholdings Co.,LTD",허메스홀딩스,012400,김광선,E,1101110216047,1198105220,서울특별시 강남구 삼성동 159 코엑스상사전시장 C-28 ,www.hermesholdings.co.kr,,02-2071-0900,02-2071-0901,26429,19770705,12
7,000,정상,00344746,(주)유티엑스,"UTX CO.,LTD.",유티엑스,045880,이성암,E,1201110163250,1398134831,서울특별시 금천구 가산동 371-28 우림라이온스밸리 B동 13층 ,www.i-utx.com,,02-2103-3000,02-2103-3100,26410,19971212,09
8,000,정상,00261188,(주)글로포스트,"Glopost CO., Ltd.",글로포스트,037830,문원호,E,1101111569958,2148624959,서울특별시 서초구 잠원동 28-1 ,www.glopost.co.kr,,02-2106-7500,025110877,58221,19980728,12
9,000,정상,00268020,(주)쏠라엔텍,"SOLAR & TECH CO., LTD.",쏠라엔텍,030390,"김 재 철, 이 동 화 (각자대표)",E,1101110191900,1168120163,"서울특별시 서초구 서초동 1677-14 케이비빌딩 4,5층 ",www.dubank.co.kr,,02-525-1110,02-525-2420,46599,19760216,12
10,000,정상,00269287,(주)보홍,"Bohong Co.,Ltd.",보홍,041320,이근욱,E,1101110990980,1058161543,서울특별시 강남구 논현동 251 ,www.bohongcorp.com,,02-3496-4400,02-521-0594,46521,19931206,12
11,000,정상,00475286,동북아1호선박투자회사,DongBukaNO1ShipInvst,동북아1호선박투자회사,078420,김연신,E,1801110473809,6078167664,부산광역시 사상구 모라동 795-22,-,,02-746-7000,02-746-7006,71531,20040116,12
12,000,정상,00250775,에듀아크,"EDU ARK Co., Ltd.",에듀아크,046350,한데이브경환,E,1201110063868,1378101130,인천광역시 서구 가좌동 178-196 ,edu-ark.com,,02-798-5910,027985922,2622,19910114,12
13,000,정상,00114321,(주)데코,Deco,데코,013650,박성경,E,1101110242985,2148107256,서울특별시 송파구 오금동 24-2번지 ,www.deco.co.kr,,02-2145-1372,02  -2145-1367,14112,19781209,12
14,000,정상,00191108,(주)엘앤씨피,"L&CP CO.,Ltd",엘앤씨피,015390,최형석,E,1201110038697,1228116626,충청북도 충주시 주덕읍 당우리 822-13 ,www.kysys.co.kr,,02-337-9090,032-548-3916,20491,19810309,12
15,000,정상,00167378,(주)희훈디앤지,HEEHOON DESIGN & GLOBAL.CO.LTD,희훈디앤지,019640,"김재혁, 허  헌",E,1101110513609,1118110864,서울특별시 강남구 논현동 66-11 ,www.heehoon.co.kr,,02-512-2081,02  -337 -6324,42,19861217,12
16,000,정상,00225210,(주)퓨쳐인포넷,"Future Infonet, Inc.",퓨쳐인포넷,058690,류원기,E,1101110828933,2118643393,"서울특별시 강남구 대치동 1001-13,14,15 ",www.futureinfonet.com,,(02)3441-5300,(02)517-8610,58221,19920113,12
17,000,정상,00223346,(주)쓰리디넷,"3D NET Co.,Ltd.",쓰리디넷,035400,민봉기,E,1101110829501,2148607080,서울특별시 강남구 개포동 1228-1 세영빌딩 5층,vsst.com,,070-7435-8500,02-804-2399,58221,19920115,12
18,000,정상,00174129,(주)제일저축은행,Jeil Savings Bank,제일저축은행,024100,이용준,E,1101110090350,2158133698,서울특별시 송파구 가락동 99-3,www.jeilbank.co.kr,,02-405-2000,02)449-8457,64131,19680622,06
19,000,정상,00114826,제일창업투자(주),Korea First Venture Capital Corporation,제일창업투자,026540,황순태,E,1701110044834,5018111538,서울특별시 중구 충무로 2가 64-5 ,www.kfvc.co.kr,,02  -775 -7302,02  -775 -7305,64209,19900524,12
20,000,정상,00173333,(주)현대DSF,"HYUNDAI DSF CO.,LTD",현대DSF,016510,하병호(河炳鎬),E,1812110002811,6208100730,울산광역시 남구 삼산동 1521-1,www.e-hyundai.com,,052-228-2233,052)228-1334,47111,19821126,12
21,000,정상,00687599,(주)네프로아이티,"NEPRO IT CO., LTD.",네프로아이티,950030,카나이 타케시,E,,24377,일본 도쿄도 주오구 쿄바시 1-11-8번지 니시긴빌딩 5층,www.nepro.jp/it/,,81-3-6803-3980,03-6803-3981,63991,20000209,03
22,000,정상,00256292,(주)자강,ZAKANG Inc,자강,036790,최준우,E,1101111303728,2138626745,경기도 성남시 분당구 야탑동 514-1 신도리코BD 6F ,www.zakang.co.kr,,031 -789 -9058,031-707-1525,2642,19960731,12
23,000,정상,00271431,케이엠에스(주),"KMS Co., Ltd",케이엠에스,038830,이태현,E,1101110954829,1198116256,경기도 안양시 동안구 관양동 900-1 폴리켐빌딩 4층 ,www.kmscorp.co.kr,,031-424-0093,02-3463-1006,2642,19930701,12
24,000,정상,00154727,(주)에버리소스,EVER RESOURCES INC.,에버리소스,020070,김영수,E,1201110041492,1398114868,인천광역시 남동구 논현동 448-1 예성아이라이프 804 ,www.ever-res.com,,02-508-0104,02-508-0189,46510,19870701,12
25,000,정상,00246189,제이에스(주),JS Company Limited,제이에스,037110,임은섭,E,1312110003653,1268116157,경기도 이천시 호법면 안평리 67-2 ,www.korfirst.co.kr,,031-638-8731(215),02-532-0310,2642,19940905,12
26,000,정상,00154204,태창기업(주),"TAECHANG ENTERPRISE CO.,LTD",태창기업,007490,김희주,E,1801110018663,6218105102,경상남도 고성군 회화면 배둔리 87번지,www.tce.co.kr,,055-672-3657,055-672-3627,13401,19560901,12
27,000,정상,00152631,(주)에이치비이에너지,"HBE ENERGY CO.,LTD",에이치비이에너지,017300,한상업,E,1753110001281,5138102065,경상북도 구미시공단동 170,www.kds21.com,,02-2016-6227,02-2016-6239,26,19831020,12
28,000,정상,00107923,남한제지(주),"NAMHAN PAPER CO.,LTD",남한제지,001950,최 홍,E,1101110027303,2088118156,대전광역시 대덕구 신탄진동 100-1,www.kyesung.co.kr,,02-3668-6705,02-738-9472,1712,19570225,06
29,000,정상,00358095,(주)코어비트,COREBIT,코어비트,056850,김지태,E,1301110022929,1248121692,서울특별시 강남구 논현동 61-5 디엠씨씨빌딩 801호 ,www.corebit.co.kr,,02-544-1500,02-544-1560,58221,19930923,12
30,000,정상,00510215,동북아8호선박투자회사,Dongbuka No.8 Ship Investment Company,동북아8호선박투자회사,082110,김연신,E,1801110501709,6068189078,부산광역시 사상구 모라동 795-22,-,,02-746-7000,02-746-7006,71531,20041119,12
