corp_code,bsns_year,reprt_code,account_id,account_nm,bfefrmtrm_amount,bfefrmtrm_nm,currency,frmtrm_amount,frmtrm_nm,ord,sj_div,sj_nm,thstrm_amount,thstrm_nm
00106614,2023,11011,-표준계정코드 미사용-,순확정급여자산,1535815784,제 33 기,KRW,3168592243,제 34 기,20,BS,재무상태표,2823582300,제 35 기
00106614,2023,11011,dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,영업으로부터 창출된 현금,16330239804,제 33 기,KRW,4911663583,제 34 기,1,CF,현금흐름표,-1927079110,제 35 기
00106614,2023,11011,dart_CapitalSurplus,기타불입자본,21791004500,제 33 기,KRW,21791004500,제 34 기,36,BS,재무상태표,21791004500,제 35 기
00106614,2023,11011,dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,24492678348,제 33 기,KRW,31933363331,제 34 기,33,CF,현금흐름표,10747455990,제 35 기
00106614,2023,11011,dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,31933363331,제 33 기,KRW,10747455990,제 34 기,34,CF,현금흐름표,11877971786,제 35 기
00106614,2023,11011,dart_ChangesInReserveOfGainsAndLossesOnFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치금융자산평가손익,3298579221,제 33 기,KRW,-564014880,제 34 기,4,SCE,자본변동표,-99639983,제 35 기
00106614,2023,11011,dart_DecreaseInGuaranteeDeposits,임차보증금의 감소,10100000,제 33 기,KRW,0,제 34 기,13,CF,현금흐름표,0,제 35 기
00106614,2023,11011,dart_DecreaseInGuaranteeDepositsAsFinancialActivities,임대보증금의 감소,0,제 33 기,KRW,29200000,제 34 기,29,CF,현금흐름표,46000000,제 35 기
00106614,2023,11011,dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,2709345972,제 33 기,KRW,2168264674,제 34 기,37,BS,재무상태표,2068624691,제 35 기
00106614,2023,11011,dart_EquityAtBeginningOfPeriod,기초자본,240417406632,제 33 기,KRW,248048420299,제 34 기,1,SCE,자본변동표,251817748832,제 35 기
00106614,2023,11011,dart_IncreaseInGuaranteeDeposits,임차보증금의 증가,3300000,제 33 기,KRW,0,제 34 기,20,CF,현금흐름표,0,제 35 기
00106614,2023,11011,dart_IncreaseInGuaranteeDepositsAsFinancialActivities,임대보증금의 증가,22000000,제 33 기,KRW,44000000,제 34 기,25,CF,현금흐름표,83200000,제 35 기
00106614,2023,11011,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,2326155192,제 33 기,KRW,2416388182,제 34 기,9,BS,재무상태표,15579823298,제 35 기
00106614,2023,11011,dart_LongTermTradeAndOtherNonCurrentPayables,장기성매입채무 및 기타채무,97420644,제 33 기,KRW,82922240,제 34 기,30,BS,재무상태표,70175128,제 35 기
00106614,2023,11011,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기성매출채권 및 기타채권,80574260,제 33 기,KRW,62535815,제 34 기,10,BS,재무상태표,1055863457,제 35 기
