,기업,연도,자산총계,부채총계,자본총계,매출액,영업이익,당기순이익
0,AJ네트웍스,2021,"1,355,044,449,955","992,534,361,837","362,510,088,118","1,026,749,457,003","45,109,542,821","76,737,133,075"
1,AJ네트웍스,2020,"1,588,170,350,000","1,300,162,539,894","288,007,810,106","871,956,093,147","21,089,140,851","-3,316,812,122"
2,AJ네트웍스,2019,"1,803,255,225,986","1,455,914,070,366","347,341,155,620","1,000,259,401,598","15,649,322,684","42,128,594,358"
3,AK홀딩스,2021,"4,548,736,656,905","3,346,377,385,610","1,202,359,271,295","3,167,699,652,090","-165,714,944,091","-199,326,056,742"
4,AK홀딩스,2020,"4,152,091,609,064","2,889,429,546,083","1,262,662,062,981","2,619,977,218,245","-221,554,817,267","-264,310,731,247"
5,AK홀딩스,2019,"4,327,964,555,085","2,880,323,312,876","1,447,641,242,209","3,759,542,062,510","131,336,891,859","58,746,362,285"
6,BGF,2021,"1,981,622,039,251","248,858,644,100","1,732,763,395,151","206,770,625,284","11,499,330,314","35,977,028,709"
7,BGF,2020,"1,658,204,361,732","121,105,273,379","1,537,099,088,353","154,381,286,305","14,640,997,513","17,880,953,455"
8,BGF,2019,"1,657,381,460,248","129,126,735,585","1,528,254,724,663","133,387,713,837","26,355,506,906","17,515,291,535"
9,BGF리테일,2021,"2,596,378,756,682","1,787,059,387,273","809,319,369,409","6,781,161,259,022","199,441,703,668","147,642,852,239"
10,BGF리테일,2020,"2,371,169,598,247","1,674,341,687,928","696,827,910,319","6,181,269,419,288","162,204,243,583","122,711,267,434"
11,BGF리테일,2019,"2,172,410,899,706","1,549,815,137,631","622,595,762,075","5,946,068,219,555","196,623,293,754","151,377,053,549"
12,BNK금융지주,2019,,,,,,
13,BYC,2021,"684,434,512,150","202,622,247,604","481,812,264,546","164,445,893,789","26,711,346,464","29,855,489,397"
14,BYC,2020,"679,134,863,796","226,466,838,553","452,668,025,243","161,863,377,007","22,940,934,002","18,285,121,577"
15,BYC,2019,"693,882,852,856","259,555,399,205","434,327,453,651","170,589,026,967","23,393,686,890","27,788,949,736"
16,CJ,2021,"41,955,995,804,000","25,492,465,688,000","16,463,530,116,000","34,484,026,554,000","1,881,800,099,000","806,961,658,000"
